dia,franja,tipo,uso_armas,barrio
Martes,10,Lesiones por siniestro vial,,San Nicolás
Martes,11,Lesiones por siniestro vial,,Saavedra
Lunes,11,Lesiones por siniestro vial,,Balvanera
Martes,10,Lesiones por siniestro vial,,
Martes,11,Lesiones por siniestro vial,,Flores
Martes,10,Lesiones por siniestro vial,,Villa Crespo
Martes,13,Lesiones por siniestro vial,,Chacarita
Viernes,21,Lesiones por siniestro vial,,Palermo
Martes,17,Lesiones por siniestro vial,,Nuñez
Martes,14,Lesiones por siniestro vial,,
Martes,13,Lesiones por siniestro vial,,Monserrat
Martes,15,Lesiones por siniestro vial,,Villa Crespo
Martes,14,Lesiones por siniestro vial,,Palermo
Martes,15,Lesiones por siniestro vial,,Palermo
Martes,17,Lesiones por siniestro vial,,Villa Gral. Mitre
Martes,17,Lesiones por siniestro vial,,Villa Lugano
Martes,15,Lesiones por siniestro vial,,Villa Crespo
Martes,18,Lesiones por siniestro vial,,
Martes,18,Lesiones por siniestro vial,,Villa Luro
Martes,17,Lesiones por siniestro vial,,
Martes,17,Lesiones por siniestro vial,,Recoleta
Martes,18,Lesiones por siniestro vial,,Recoleta
Martes,0,Lesiones por siniestro vial,,Parque Avellaneda
Martes,22,Lesiones por siniestro vial,,Flores
Miércoles,9,Lesiones por siniestro vial,,Recoleta
Miércoles,9,Lesiones por siniestro vial,,Villa Devoto
Martes,21,Lesiones por siniestro vial,,Monte Castro
Miércoles,10,Lesiones por siniestro vial,,Caballito
Miércoles,11,Lesiones por siniestro vial,,Villa Devoto
Miércoles,12,Lesiones por siniestro vial,,Floresta
Miércoles,13,Lesiones por siniestro vial,,Villa Lugano
Miércoles,8,Lesiones por siniestro vial,,Flores
Miércoles,12,Lesiones por siniestro vial,,Chacarita
Miércoles,13,Lesiones por siniestro vial,,San Telmo
Miércoles,12,Lesiones por siniestro vial,,Puerto Madero
Miércoles,13,Lesiones por siniestro vial,,Flores
Miércoles,15,Lesiones por siniestro vial,,Parque Chas
Miércoles,16,Lesiones por siniestro vial,,Villa Lugano
Miércoles,15,Lesiones por siniestro vial,,Villa Crespo
Miércoles,12,Lesiones por siniestro vial,,Constitución
Miércoles,17,Lesiones por siniestro vial,,Retiro
Miércoles,15,Lesiones por siniestro vial,,Liniers
Miércoles,17,Lesiones por siniestro vial,,Parque Chacabuco
